,title,Cumulative Worldwide Gross,Budget,Opening Weekend United States,rating,runtimes,votes,aspect ratio
0,xXx: State of the Union,71022693.0,60000000.0,12712272.0,4.4,101,65524.0,2.39
1,Crash,98410061.0,6500000.0,342709.0,7.8,112,409356.0,2.35
2,Star Wars: Episode III - Revenge of the Sith,848754768.0,113000000.0,108435841.0,7.5,140,677869.0,2.39
3,Monster-in-Law,154749918.0,60000000.0,23105133.0,5.5,101,54328.0,2.35
4,Madagascar,532680671.0,75000000.0,61012130.0,6.9,86,348839.0,1.85
5,The Longest Yard,190320568.0,82000000.0,58613245.0,6.4,113,156116.0,2.39
6,Cinderella Man,108539911.0,88000000.0,18320205.0,8.0,144,170610.0,2.35
7,The Sisterhood of the Traveling Pants,42013878.0,25000000.0,9833340.0,6.5,119,52221.0,2.35
8,Mr. & Mrs. Smith,478207520.0,120000000.0,50342878.0,6.5,120,433401.0,2.39
9,The Adventures of Sharkboy and Lavagirl,71992655.0,50000000.0,12582088.0,3.5,93,29420.0,1.85
10,Batman Begins,374218673.0,150000000.0,48745440.0,8.2,140,1248142.0,2.39
11,Herbie Fully Loaded,144146816.0,50000000.0,12709221.0,4.8,101,43511.0,1.85
12,Bewitched,131426169.0,85000000.0,20131130.0,4.8,102,66994.0,1.85
13,War of the Worlds,591745540.0,132000000.0,77061953.0,6.5,116,400858.0,1.85
14,Dark Water,49483352.0,30000000.0,9939251.0,5.6,105,58363.0,2.35
15,Fantastic Four,330120875.0,100000000.0,56061504.0,5.7,106,303869.0,2.35
16,Wedding Crashers,285176741.0,40000000.0,33900720.0,6.9,119,322616.0,2.35
17,The Island,162949164.0,126000000.0,12409070.0,6.8,136,293783.0,2.39
18,Bad News Bears,34252847.0,30000000.0,11382472.0,5.8,113,19775.0,1.85
19,The Devil's Rejects,2345048.0,7000000.0,7067335.0,6.8,107,89940.0,1.85
20,Sky High,86369815.0,35000000.0,14631784.0,6.2,100,75230.0,1.78
21,Stealth,76932872.0,135000000.0,13251545.0,5.1,121,50519.0,2.35
22,Serenity,38869464.0,40000000.0,10086680.0,7.8,119,276432.0,2.35
23,The Dukes of Hazzard,111069515.0,50000000.0,30675314.0,5.1,104,73951.0,2.35
24,Junebug,3399228.0,1000000.0,74739.0,6.9,106,21699.0,1.85
25,Four Brothers,92374674.0,45000000.0,21176925.0,6.8,109,128973.0,2.39
26,The Great Raid,10769311.0,80000000.0,3376009.0,6.7,132,20805.0,2.35
27,The 40 Year Old Virgin,177378645.0,26000000.0,21422815.0,7.1,116,378042.0,1.85
28,Red Eye,37685971.0,26000000.0,16167662.0,6.4,85,108731.0,2.35
29,The Brothers Grimm,105316267.0,88000000.0,15092079.0,5.9,118,113280.0,1.85
30,The Cave,18288466.0,30000000.0,6147294.0,5.1,97,34044.0,2.35
31,Just Like Heaven,102854431.0,58000000.0,16408718.0,6.7,95,96014.0,1.85
32,Lord of War,72617068.0,50000000.0,9390144.0,7.6,122,285260.0,2.35
33,Cry_Wolf,15585495.0,1000000.0,4428209.0,5.8,90,25435.0,2.35
34,The Exorcism of Emily Rose,144216468.0,20000000.0,30054300.0,6.7,119,114608.0,2.35
35,Flightplan,133680000.0,55000000.0,24629938.0,6.3,98,147643.0,2.39
