,title,Cumulative Worldwide Gross,Budget,Opening Weekend United States,rating,runtimes,votes,aspect ratio
0,Toy Story,373554033.0,30000000.0,12491789.0,8.3,81,841840.0,1.78
1,Jumanji,262797249.0,50000000.0,11084370.0,7.0,104,289356.0,1.85
2,Heat,120000000.0,60000000.0,8445656.0,8.2,170,546922.0,2.35
3,Ace Ventura: When Nature Calls,212385533.0,30000000.0,37804076.0,6.4,90,195070.0,2.39
4,Dangerous Minds,179519401.0,23000000.0,14931503.0,6.5,99,46347.0,1.85
5,Twelve Monkeys,168839459.0,29000001.0,14200000.0,8.0,129,556498.0,1.85
6,Clueless,20700000.0,12000000.0,10612443.0,6.8,97,166410.0,1.85
7,Mortal Kombat,122195920.0,18000000.0,23283887.0,5.8,101,97031.0,1.85
8,Se7en,327311859.0,33000000.0,13949807.0,8.6,127,1359451.0,2.39
9,Pocahontas,346079773.0,55000000.0,29531619.0,6.7,81,160965.0,1.66
10,The Usual Suspects,34449356.0,6000000.0,645363.0,8.5,106,945005.0,2.39
11,Eye for an Eye,53192700.0,20000000.0,6968044.0,6.2,101,12786.0,1.85
12,Mr. Holland's Opus,106269971.0,23000000.0,92254.0,7.3,143,34384.0,2.39
13,From Dusk Till Dawn,33500000.0,19000000.0,10240805.0,7.2,108,274681.0,1.85
14,Mary Reilly,12272308.0,47000000.0,2812620.0,5.8,108,13609.0,1.85
15,Vampire in Brooklyn,28051736.0,20000000.0,7045379.0,4.6,100,20688.0,1.85
16,Braveheart,210409945.0,72000000.0,9938276.0,8.3,178,923412.0,2.39
17,Up Close & Personal,100688705.0,60000000.0,187067.0,6.2,124,13067.0,1.85
18,The Birdcage,185260553.0,31000000.0,166136.0,7.1,117,75956.0,1.85
19,Bad Boys,141407024.0,19000000.0,15523358.0,6.9,119,226196.0,1.85
20,Apollo 13,355237933.0,52000000.0,200645.0,7.6,140,255597.0,1.66
21,Batman Forever,152500000.0,100000000.0,52784433.0,5.4,121,227515.0,1.85
22,Congo,152022101.0,50000000.0,24642539.0,5.2,109,40653.0,1.85
23,Crimson Tide,66000000.0,53000000.0,18612190.0,7.3,116,96773.0,2.39
24,Die Hard: With a Vengeance,366101666.0,90000000.0,22162245.0,7.6,128,351221.0,2.39
25,First Knight,127600435.0,55000000.0,10900000.0,6.0,134,65279.0,1.85
26,Judge Dredd,113493481.0,70000000.0,12291536.0,5.6,96,106754.0,2.39
27,Mighty Morphin Power Rangers: The Movie,66433194.0,15000000.0,13104788.0,5.2,95,24325.0,1.85
28,The Net,110627965.0,22000000.0,10037745.0,5.9,114,58238.0,1.85
29,Waterworld,264218220.0,175000000.0,21171780.0,6.2,135,172918.0,1.85
30,Before Sunrise,22600000.0,2500000.0,1423537.0,8.1,101,251686.0,1.85
31,Disclosure,214015089.0,55000000.0,10068126.0,6.1,128,44364.0,2.35
32,Dumb and Dumber,247275374.0,16000000.0,16300000.0,7.3,107,340321.0,1.85
33,Interview with the Vampire,223664608.0,60000000.0,36389705.0,7.6,123,283784.0,1.85
34,Star Wars,775398007.0,11000000.0,35906661.0,8.6,121,1178215.0,2.20
35,Legends of the Fall,160638883.0,30000000.0,14038128.0,7.6,133,140029.0,1.85
36,Mary Shelley's Frankenstein,112006296.0,45000000.0,11212889.0,6.4,123,49426.0,1.85
37,Outbreak,189859560.0,50000000.0,13420387.0,6.6,127,109960.0,1.85
38,Pulp Fiction,213928762.0,8000000.0,9311882.0,8.9,154,1733258.0,2.39
39,The Specialist,170400000.0,45000000.0,14300000.0,5.6,110,60328.0,1.85
40,Stargate,196600000.0,55000000.0,16600000.0,7.1,116,169634.0,2.39
41,The Shawshank Redemption,58500000.0,25000000.0,727326.0,9.3,142,2206649.0,1.85
42,Star Trek: Generations,120000000.0,35000000.0,23100000.0,6.6,118,73200.0,2.39
43,Clear and Present Danger,215887717.0,62000000.0,20348017.0,6.9,141,85279.0,2.35
44,Forrest Gump,677945399.0,55000000.0,24450602.0,8.8,142,1703017.0,2.39
45,The Lion King,968483777.0,45000000.0,40888194.0,8.5,88,892415.0,1.66
46,New Nightmare,4443890.0,8000000.0,6667118.0,6.4,112,48597.0,1.85
47,The Mask,351583407.0,18000000.0,23117068.0,6.9,101,328506.0,1.85
48,Maverick,183031272.0,75000000.0,17248545.0,7.0,127,97959.0,2.39
49,Speed,350448145.0,30000000.0,14800000.0,7.2,116,314996.0,2.39
50,True Lies,378882411.0,115000000.0,25869770.0,7.2,141,228080.0,1.78
51,Wolf,131002597.0,70000000.0,17911366.0,6.2,125,50698.0,1.85
52,Wyatt Earp,55952000.0,63000000.0,7543504.0,6.7,191,43550.0,2.39
53,The Beverly Hillbillies,57405220.0,25000000.0,9525375.0,5.0,92,16762.0,1.33
54,Beverly Hills Cop III,119208989.0,55000000.0,12426169.0,5.6,104,73171.0,1.85
55,Carlito's Way,63848322.0,30000000.0,9116675.0,7.9,144,191821.0,2.35
56,Cliffhanger,171000000.0,70000000.0,20458022.0,6.4,113,115268.0,2.39
57,Demolition Man,101000000.0,57000000.0,14200000.0,6.7,115,151319.0,2.35
58,The Firm,270248367.0,42000000.0,25400000.0,6.8,154,111384.0,1.85
59,Free Willy,153698625.0,20000000.0,7868829.0,6.0,112,65669.0,2.39
60,The Fugitive,368875760.0,44000000.0,23758855.0,7.8,130,255005.0,1.85
61,Getting Even with Dad,24738164.0,30000000.0,5579480.0,4.8,109,7207.0,1.85
62,Hard Target,74189677.0,18000000.0,10106500.0,6.2,97,42355.0,1.85
63,Jurassic Park,1029153882.0,63000000.0,18620145.0,8.1,127,819443.0,1.37
64,Last Action Hero,137298489.0,85000000.0,15338241.0,6.4,130,130937.0,2.20
65,Made in America,60000000.0,22000000.0,11800000.0,5.0,111,15150.0,1.85
66,Executive Decision,121969216.0,55000000.0,12100000.0,6.4,133,48546.0,2.35
67,A Perfect World,135200000.0,30000000.0,8075582.0,7.6,138,70476.0,2.39
68,Rising Sun,107198790.0,35000000.0,15100000.0,6.2,125,40777.0,1.85
69,Schindler's List,221000000.0,22000000.0,566760.0,8.9,195,1151016.0,1.33
70,The Shadow,48055248.0,25000000.0,11700000.0,6.1,108,22400.0,1.85
71,Sleepless in Seattle,101200000.0,21000000.0,17200000.0,6.8,105,151273.0,1.33
72,Sliver,116300000.0,40000000.0,12138283.0,5.0,107,27668.0,2.10
73,Home Alone,533800000.0,18000000.0,17081997.0,7.6,103,442112.0,1.85
74,Ghost,290000000.0,22000000.0,12191540.0,7.0,127,187499.0,1.85
75,Aladdin,504050219.0,28000000.0,196664.0,8.0,90,350284.0,1.66
76,Terminator 2: Judgment Day,315000000.0,102000000.0,31765506.0,8.5,137,953328.0,2.20
77,Dances with Wolves,424200000.0,22000000.0,598257.0,8.0,181,229638.0,2.20
78,Batman,411348924.0,35000000.0,40489746.0,7.5,126,325500.0,1.85
79,The Silence of the Lambs,272742922.0,19000000.0,13766814.0,8.6,118,1197528.0,1.85
80,Snow White and the Seven Dwarfs,418200000.0,2000000.0,7514749.0,7.6,83,172571.0,1.85
81,Beauty and the Beast,424967620.0,25000000.0,17754905.0,8.0,84,403693.0,1.78
82,Pinocchio,1068200.0,2600000.0,3769251.0,7.4,88,123491.0,1.66
83,Pretty Woman,463406268.0,14000000.0,11280591.0,7.0,119,273344.0,1.37
84,Fargo,36000000.0,7000000.0,137301.0,8.1,98,585807.0,1.85
85,Primal Fear,102616183.0,30000000.0,9900000.0,7.7,129,173304.0,1.85
86,Courage Under Fire,100860818.0,46000000.0,12501000.0,6.6,116,48408.0,1.85
87,Mission: Impossible,457696359.0,80000000.0,804000.0,7.1,110,371491.0,2.39
88,DragonHeart,115267375.0,57000000.0,1238000.0,6.5,103,88671.0,2.39
89,Eddie,5700000.0,30000000.0,178363.0,5.2,100,9021.0,1.85
90,Space Jam,250200000.0,80000000.0,27528529.0,6.4,88,150904.0,1.85
91,The Quest,57400547.0,30000000.0,7029120.0,5.6,95,23218.0,2.35
92,Multiplicity,34100000.0,45000000.0,5075000.0,6.1,117,28888.0,2.39
93,The Craft,30900000.0,15000000.0,210549.0,6.3,101,71979.0,1.85
94,The Rock,335062621.0,75000000.0,2601000.0,7.4,136,301888.0,2.39
95,Twister,494471524.0,92000000.0,1071000.0,6.4,113,167435.0,2.39
96,Spy Hard,59000000.0,18000000.0,98176.0,5.4,81,35027.0,1.85
97,Striptease,113309743.0,40000000.0,12300000.0,4.5,115,41302.0,1.85
98,The Hunchback of Notre Dame,325338851.0,100000000.0,4293000.0,6.9,91,134436.0,1.66
99,The Cable Guy,102825796.0,47000000.0,19806226.0,6.1,96,146318.0,2.39
100,Kingpin,7200000.0,27000000.0,5582000.0,6.9,114,74344.0,2.35
101,Eraser,242295562.0,100000000.0,24566446.0,6.1,115,100168.0,2.39
102,The Nutty Professor,273961019.0,54000000.0,25411725.0,5.6,95,105786.0,1.85
103,Daylight,126189000.0,80000000.0,10014795.0,5.9,114,63525.0,1.85
104,Phenomenon,152036382.0,32000000.0,16200000.0,6.4,123,72684.0,2.35
105,A Time to Kill,152266007.0,40000000.0,19630000.0,7.5,149,124345.0,2.39
106,Fled,2800000.0,25000000.0,5405000.0,5.4,98,8253.0,1.85
107,The First Wives Club,181489203.0,26000000.0,18913411.0,6.4,103,40817.0,1.66
108,Ransom,309492681.0,80000000.0,34216088.0,6.6,121,114478.0,1.85
109,Chain Reaction,38200000.0,50000000.0,7546000.0,5.7,107,46559.0,1.85
110,The Crow: City of Angels,7500000.0,13000000.0,9785111.0,4.7,84,18558.0,1.85
111,Tin Cup,75900000.0,45000000.0,10128834.0,6.4,135,44455.0,2.35
112,The Godfather,245066411.0,6000000.0,223758.0,9.2,175,1519960.0,1.37
113,The Island of Dr. Moreau,42000000.0,40000000.0,9101987.0,4.6,96,29987.0,2.35
114,Rear Window,36888916.0,1000000.0,15172.0,8.4,112,419375.0,1.37
115,Gone with the Wind,400176459.0,3977000.0,1192593.0,8.1,238,275024.0,1.75
116,2001: A Space Odyssey,190700000.0,12000000.0,202759.0,8.3,149,570705.0,2.20
117,Giant,762459.0,5400000.0,5649.0,7.6,201,32399.0,1.66
118,Night of the Living Dead,30000000.0,114000.0,5452.0,7.9,96,110241.0,1.37
119,Maximum Risk,51702483.0,25000000.0,5611707.0,5.5,101,19328.0,2.35
120,Last Man Standing,33200000.0,67000000.0,7010331.0,6.4,101,51704.0,2.35
121,The Glimmer Man,16000000.0,45000000.0,7605504.0,5.4,91,18137.0,1.85
122,The Chamber,7989000.0,50000000.0,5612095.0,6.0,113,12228.0,2.39
123,Robin Hood: Prince of Thieves,390493908.0,48000000.0,25625602.0,6.9,143,171692.0,1.66
124,Die Hard,140767956.0,28000000.0,601851.0,8.2,132,752195.0,2.20
125,That Thing You Do!,34585416.0,26000000.0,6208595.0,6.9,108,59349.0,1.37
126,Everyone Says I Love You,16104765.0,20000000.0,131678.0,6.7,101,34306.0,1.85
127,Romeo + Juliet,147554998.0,14500000.0,11133231.0,6.7,120,202384.0,2.35
128,Sleepers,165615285.0,44000000.0,12305745.0,7.6,147,180474.0,2.35
129,Dial M for Murder,6540000.0,1400000.0,12562.0,8.2,105,147626.0,1.66
130,Dirty Dancing,170000000.0,6000000.0,162378.0,7.0,100,189418.0,1.85
131,Reservoir Dogs,14831693.0,1200000.0,147839.0,8.3,99,872933.0,2.35
132,E.T. the Extra-Terrestrial,792910554.0,10500000.0,14223110.0,7.8,115,353022.0,1.85
133,Top Gun,356830601.0,15000000.0,1965737.0,6.9,110,276134.0,1.33
134,The Abyss,90000098.0,70000000.0,9319797.0,7.6,171,156462.0,2.20
135,Escape from New York,50000000.0,6000000.0,4162000.0,7.2,99,118033.0,2.35
136,The English Patient,134700000.0,27000000.0,278439.0,7.4,162,171763.0,1.85
137,Madonna: Truth or Dare,29012935.0,4500000.0,543250.0,6.4,120,8443.0,1.85
138,One Flew Over the Cuckoo's Nest,11930050.0,4400000.0,99761.0,8.7,133,869394.0,1.85
139,The Empire Strikes Back,247916602.0,18000000.0,10840307.0,8.7,124,1106255.0,2.20
140,Raiders of the Lost Ark,389925971.0,18000000.0,1673731.0,8.4,115,845158.0,2.20
141,Aliens,131060248.0,18500000.0,10052042.0,8.3,137,624975.0,1.85
142,Return of the Jedi,165800000.0,32500000.0,16293531.0,8.3,131,907042.0,2.20
143,Army of Darkness,21502976.0,11000000.0,4424000.0,7.5,81,156924.0,1.85
144,Once Upon a Time in America,8157411.0,30000000.0,2412014.0,8.4,229,292846.0,1.85
145,Dead Poets Society,140000000.0,16400000.0,340456.0,8.1,128,395189.0,1.85
146,The Graduate,114945305.0,3000000.0,873.0,8.0,106,245189.0,2.35
147,Unforgiven,159157447.0,14400000.0,15018007.0,8.2,130,356837.0,2.35
148,Back to the Future,381109762.0,19000000.0,11332134.0,8.5,116,987519.0,1.37
149,Fantasia,187924.0,2280000.0,6047613.0,7.8,125,84723.0,1.37
150,Indiana Jones and the Last Crusade,474171806.0,48000000.0,29400000.0,8.2,127,660875.0,2.20
151,Alien³,159773600.0,50000000.0,23141188.0,6.5,114,265584.0,2.20
152,The Mirror Has Two Faces,73052428.0,42000000.0,12210868.0,6.6,126,14548.0,1.85
153,Star Trek: First Contact,150000000.0,45000000.0,30716131.0,7.6,111,114046.0,2.39
154,101 Dalmatians,320689294.0,75000000.0,45073479.0,5.7,103,96812.0,2.20
155,Die Hard 2,240031094.0,70000000.0,21744661.0,7.2,124,323759.0,2.20
156,Star Trek: The Motion Picture,139000000.0,46000000.0,11926421.0,6.4,132,77947.0,2.20
157,Star Trek V: The Final Frontier,70210000.0,27800000.0,17300000.0,5.5,107,53781.0,2.20
158,Star Trek II: The Wrath of Khan,97000000.0,11200000.0,14347221.0,7.7,113,108599.0,2.20
159,Star Trek III: The Search for Spock,87000000.0,17000000.0,16673229.0,6.7,105,71535.0,2.20
160,Star Trek IV: The Voyage Home,133000000.0,25000000.0,16881888.0,7.3,119,75406.0,2.20
161,Batman Returns,120000000.0,80000000.0,45687711.0,7.0,126,263381.0,1.85
162,Grease,394955690.0,6000000.0,60759.0,7.2,110,223311.0,2.20
163,Marked for Death,57968936.0,12000000.0,11790047.0,6.0,93,18785.0,2.35
164,Jaws,470653000.0,8000000.0,7061513.0,8.0,124,524748.0,2.35
165,Jaws 3-D,87987055.0,20500000.0,13422500.0,3.7,99,37450.0,2.39
166,Mars Attacks!,101371017.0,70000000.0,9384272.0,6.3,106,202833.0,2.39
167,Jerry Maguire,273552592.0,50000000.0,17084296.0,7.3,139,231036.0,1.85
168,Scream,173046663.0,14000000.0,6354586.0,7.2,111,272590.0,2.35
169,Evita,91000000.0,55000000.0,8381055.0,6.3,135,32932.0,2.39
170,Murder at 1600,41126788.0,40000000.0,7962268.0,6.1,107,27571.0,1.85
171,Metro,74387563.0,55000000.0,11411107.0,5.5,117,24782.0,2.35
172,Dante's Peak,178127760.0,116000000.0,18479435.0,5.9,108,77177.0,2.39
173,Fools Rush In,12100000.0,20000000.0,9714940.0,6.0,109,31362.0,1.85
174,Donnie Brasco,124909762.0,35000000.0,11660216.0,7.7,127,264048.0,2.35
175,The Saint,108060970.0,68000000.0,16278873.0,6.2,116,60081.0,2.35
176,Liar Liar,302710615.0,45000000.0,31423025.0,6.9,86,270080.0,1.85
177,The Devil's Own,97939199.0,86000000.0,18063265.0,6.2,111,56104.0,2.39
178,Turbo: A Power Rangers Movie,9615840.0,8000000.0,3301135.0,3.6,99,7908.0,1.85
179,Double Team,36700000.0,30000000.0,5034914.0,4.8,93,30230.0,2.35
180,Anaconda,71000000.0,45000000.0,16620887.0,4.8,89,91192.0,2.39
181,Volcano,122823468.0,90000000.0,14581740.0,5.5,104,69665.0,1.85
182,Austin Powers: International Man of Mystery,67683989.0,17000000.0,9548111.0,7.0,94,213827.0,2.39
183,Fathers' Day,7000000.0,85000000.0,8776159.0,5.3,98,14125.0,2.35
184,The Lost World: Jurassic Park,618638999.0,73000000.0,90161880.0,6.6,129,361012.0,1.37
185,Con Air,224012234.0,75000000.0,24131738.0,6.9,115,266027.0,2.39
186,Speed 2: Cruise Control,115900000.0,160000000.0,16158942.0,3.9,121,71970.0,2.35
187,Batman & Robin,238207122.0,125000000.0,42872606.0,3.7,125,225804.0,1.85
188,Hercules,252712101.0,85000000.0,21454451.0,7.3,93,193389.0,1.66
189,My Best Friend's Wedding,172168576.0,46000000.0,21678377.0,6.3,105,122721.0,2.39
190,Face/Off,128000000.0,80000000.0,23387530.0,7.3,138,337110.0,2.39
191,Men in Black,589390539.0,90000000.0,51068455.0,7.3,98,496698.0,1.85
192,Contact,171120329.0,90000000.0,20584908.0,7.4,150,243402.0,2.39
193,G.I. Jane,97169156.0,50000000.0,11094241.0,5.9,125,70728.0,2.35
194,George of the Jungle,174463257.0,55000000.0,22878989.0,5.4,92,68210.0,1.37
195,Cop Land,18800000.0,10000000.0,13510482.0,6.9,105,82623.0,1.85
196,Spawn,87840042.0,40000000.0,21210131.0,5.3,96,61930.0,1.85
197,Picture Perfect,2900000.0,10000000.0,7809026.0,5.5,101,18260.0,1.85
198,Conspiracy Theory,136982834.0,75000000.0,19313566.0,6.7,135,90428.0,2.39
199,Air Force One,315156409.0,85000000.0,37132505.0,6.5,124,172945.0,2.39
200,The Hunt for Red October,200512643.0,30000000.0,17161835.0,7.6,135,170574.0,2.20
201,In & Out,83256929.0,35000000.0,15019821.0,6.4,90,37290.0,1.85
202,The Edge,6300000.0,30000000.0,7733445.0,6.9,117,65465.0,2.35
203,The Peacemaker,110463140.0,50000000.0,12311939.0,5.9,124,52397.0,2.39
204,L.A. Confidential,126216940.0,35000000.0,5211198.0,8.2,138,510649.0,2.39
205,Seven Years in Tibet,131457682.0,70000000.0,10066508.0,7.1,136,119833.0,2.35
206,Kiss the Girls,24500000.0,27000000.0,13215167.0,6.6,115,62208.0,2.35
207,The Game,109423648.0,50000000.0,14337029.0,7.8,129,327886.0,2.39
208,Fire Down Below,4000000.0,60000000.0,6073094.0,5.1,105,16094.0,1.85
209,I Know What You Did Last Summer,125586134.0,17000000.0,15818645.0,5.7,101,127867.0,2.35
210,The Devil's Advocate,92000000.0,57000000.0,12170536.0,7.5,144,313648.0,2.35
211,Gattaca,3600000.0,36000000.0,4320202.0,7.8,106,270023.0,2.39
212,One Night Stand,5600000.0,24000000.0,978819.0,5.8,102,6342.0,1.85
213,Boogie Nights,16700954.0,15000000.0,4681934.0,7.9,155,228078.0,1.66
214,Starship Troopers,121214377.0,105000000.0,22058773.0,7.2,129,258173.0,1.85
215,Mortal Kombat: Annihilation,15449455.0,30000000.0,16771694.0,3.7,95,44665.0,1.85
216,The Truman Show,264118201.0,60000000.0,31542121.0,8.1,103,880440.0,1.85
217,Red Corner,612335.0,48000000.0,7403362.0,6.3,122,15594.0,1.85
218,The Jackal,159330280.0,60000000.0,15164595.0,6.4,124,102882.0,2.39
219,Anastasia,139804348.0,50000000.0,14242807.0,7.1,94,106816.0,1.78
220,Alien: Resurrection,161376068.0,75000000.0,16474092.0,6.2,109,219460.0,2.39
221,Amistad,16200000.0,36000000.0,4661866.0,7.3,155,68196.0,1.85
222,Deconstructing Harry,23367935.0,20000000.0,356476.0,7.4,96,40906.0,1.85
223,Flubber,177977226.0,80000000.0,35892031.0,5.3,93,81145.0,1.85
224,Good Will Hunting,225933435.0,10000000.0,10261471.0,8.3,126,810475.0,1.85
225,Home Alone 3,48200000.0,32000000.0,5085482.0,4.4,102,100275.0,1.85
226,MouseHunt,122417389.0,38000000.0,6062922.0,6.4,98,49261.0,1.85
227,Scream 2,172363301.0,24000000.0,32926342.0,6.2,120,150352.0,2.35
228,Titanic,2186772302.0,200000000.0,28638131.0,7.8,194,998388.0,1.78
229,The Horse Whisperer,186883563.0,60000000.0,13685488.0,6.6,169,37743.0,1.85
230,Jackie Brown,74727492.0,12000000.0,9292248.0,7.5,154,301050.0,1.37
231,Mr. Magoo,7500000.0,30000000.0,5233631.0,4.0,87,13807.0,1.85
