title,Cumulative Worldwide Gross,Budget,Opening Weekend United States,rating,runtimes,votes,aspect ratio
Toy Story (1995),373554033.0,30000000.0,12491789.0,8.3,81,841840.0,1.78
Jumanji (1995),262797249.0,50000000.0,11084370.0,7.0,104,289356.0,1.85
Heat (1995),120000000.0,60000000.0,8445656.0,8.2,170,546922.0,2.35
Ace Ventura: When Nature Calls (1995),212385533.0,30000000.0,37804076.0,6.4,90,195070.0,2.39
Dangerous Minds (1995),179519401.0,23000000.0,14931503.0,6.5,99,46347.0,1.85
12 Monkeys (1995),168839459.0,29000001.0,14200000.0,8.0,129,556498.0,1.85
Clueless (1995),20700000.0,12000000.0,10612443.0,6.8,97,166410.0,1.85
Mortal Kombat (1995),122195920.0,18000000.0,23283887.0,5.8,101,97031.0,1.85
Se7en (1995),327311859.0,33000000.0,13949807.0,8.6,127,1359451.0,2.39
Pocahontas (1995),346079773.0,55000000.0,29531619.0,6.7,81,160965.0,1.66
The Usual Suspects (1995),34449356.0,6000000.0,645363.0,8.5,106,945005.0,2.39
Eye for an Eye (1996),53192700.0,20000000.0,6968044.0,6.2,101,12786.0,1.85
Mr. Holland's Opus (1995),106269971.0,23000000.0,92254.0,7.3,143,34384.0,2.39
From Dusk Till Dawn (1996),33500000.0,19000000.0,10240805.0,7.2,108,274681.0,1.85
Mary Reilly (1996),12272308.0,47000000.0,2812620.0,5.8,108,13609.0,1.85
Vampire in Brooklyn (1995),28051736.0,20000000.0,7045379.0,4.6,100,20688.0,1.85
Braveheart (1995),210409945.0,72000000.0,9938276.0,8.3,178,923412.0,2.39
Up Close & Personal (1996),100688705.0,60000000.0,187067.0,6.2,124,13067.0,1.85
The Birdcage (1996),185260553.0,31000000.0,166136.0,7.1,117,75956.0,1.85
Bad Boys (1995),141407024.0,19000000.0,15523358.0,6.9,119,226196.0,1.85
Apollo 13 (1995),355237933.0,52000000.0,200645.0,7.6,140,255597.0,1.66
Batman Forever (1995),152500000.0,100000000.0,52784433.0,5.4,121,227515.0,1.85
Congo (1995),152022101.0,50000000.0,24642539.0,5.2,109,40653.0,1.85
Crimson Tide (1995),66000000.0,53000000.0,18612190.0,7.3,116,96773.0,2.39
Die Hard with a Vengeance (1995),366101666.0,90000000.0,22162245.0,7.6,128,351221.0,2.39
First Knight (1995),127600435.0,55000000.0,10900000.0,6.0,134,65279.0,1.85
Judge Dredd (1995),113493481.0,70000000.0,12291536.0,5.6,96,106754.0,2.39
Mighty Morphin Power Rangers: The Movie (1995),66433194.0,15000000.0,13104788.0,5.2,95,24325.0,1.85
The Net (1995),110627965.0,22000000.0,10037745.0,5.9,114,58238.0,1.85
Waterworld (1995),264218220.0,175000000.0,21171780.0,6.2,135,172918.0,1.85
Before Sunrise (1995),22600000.0,2500000.0,1423537.0,8.1,101,251686.0,1.85
Disclosure (1994),214015089.0,55000000.0,10068126.0,6.1,128,44364.0,2.35
Dumb and Dumber (1994),247275374.0,16000000.0,16300000.0,7.3,107,340321.0,1.85
Interview with the Vampire: The Vampire Chronicles (1994),223664608.0,60000000.0,36389705.0,7.6,123,283784.0,1.85
Star Wars: Episode IV - A New Hope (1977),775398007.0,11000000.0,35906661.0,8.6,121,1178215.0,2.20
Legends of the Fall (1994),160638883.0,30000000.0,14038128.0,7.6,133,140029.0,1.85
Frankenstein (1994),112006296.0,45000000.0,11212889.0,6.4,123,49426.0,1.85
Outbreak (1995),189859560.0,50000000.0,13420387.0,6.6,127,109960.0,1.85
Pulp Fiction (1994),213928762.0,8000000.0,9311882.0,8.9,154,1733258.0,2.39
The Specialist (1994),170400000.0,45000000.0,14300000.0,5.6,110,60328.0,1.85
Stargate (1994),196600000.0,55000000.0,16600000.0,7.1,116,169634.0,2.39
The Shawshank Redemption (1994),58500000.0,25000000.0,727326.0,9.3,142,2206649.0,1.85
Star Trek: Generations (1994),120000000.0,35000000.0,23100000.0,6.6,118,73200.0,2.39
Clear and Present Danger (1994),215887717.0,62000000.0,20348017.0,6.9,141,85279.0,2.35
Forrest Gump (1994),677945399.0,55000000.0,24450602.0,8.8,142,1703017.0,2.39
The Lion King (1994),968483777.0,45000000.0,40888194.0,8.5,88,892415.0,1.66
New Nightmare (1994),4443890.0,8000000.0,6667118.0,6.4,112,48597.0,1.85
The Mask (1994),351583407.0,18000000.0,23117068.0,6.9,101,328506.0,1.85
Maverick (1994),183031272.0,75000000.0,17248545.0,7.0,127,97959.0,2.39
Speed (1994),350448145.0,30000000.0,14800000.0,7.2,116,314996.0,2.39
True Lies (1994),378882411.0,115000000.0,25869770.0,7.2,141,228080.0,1.78
Wolf (1994),131002597.0,70000000.0,17911366.0,6.2,125,50698.0,1.85
Wyatt Earp (1994),55952000.0,63000000.0,7543504.0,6.7,191,43550.0,2.39
The Beverly Hillbillies (1993),57405220.0,25000000.0,9525375.0,5.0,92,16762.0,1.33
Beverly Hills Cop III (1994),119208989.0,55000000.0,12426169.0,5.6,104,73171.0,1.85
Carlito's Way (1993),63848322.0,30000000.0,9116675.0,7.9,144,191821.0,2.35
Cliffhanger (1993),171000000.0,70000000.0,20458022.0,6.4,113,115268.0,2.39
Demolition Man (1993),101000000.0,57000000.0,14200000.0,6.7,115,151319.0,2.35
The Firm (1993),270248367.0,42000000.0,25400000.0,6.8,154,111384.0,1.85
Free Willy (1993),153698625.0,20000000.0,7868829.0,6.0,112,65669.0,2.39
The Fugitive (1993),368875760.0,44000000.0,23758855.0,7.8,130,255005.0,1.85
Getting Even with Dad (1994),24738164.0,30000000.0,5579480.0,4.8,109,7207.0,1.85
Hard Target (1993),74189677.0,18000000.0,10106500.0,6.2,97,42355.0,1.85
Jurassic Park (1993),1029153882.0,63000000.0,18620145.0,8.1,127,819443.0,1.37
Last Action Hero (1993),137298489.0,85000000.0,15338241.0,6.4,130,130937.0,2.20
Made in America (1993),60000000.0,22000000.0,11800000.0,5.0,111,15150.0,1.85
Executive Decision (1996),121969216.0,55000000.0,12100000.0,6.4,133,48546.0,2.35
A Perfect World (1993),135200000.0,30000000.0,8075582.0,7.6,138,70476.0,2.39
Rising Sun (1993),107198790.0,35000000.0,15100000.0,6.2,125,40777.0,1.85
Schindler's List (1993),221000000.0,22000000.0,566760.0,8.9,195,1151016.0,1.33
The Shadow (1994),48055248.0,25000000.0,11700000.0,6.1,108,22400.0,1.85
Sleepless in Seattle (1993),101200000.0,21000000.0,17200000.0,6.8,105,151273.0,1.33
Sliver (1993),116300000.0,40000000.0,12138283.0,5.0,107,27668.0,2.10
Home Alone (1990),533800000.0,18000000.0,17081997.0,7.6,103,442112.0,1.85
Ghost (1990),290000000.0,22000000.0,12191540.0,7.0,127,187499.0,1.85
Aladdin (1992),504050219.0,28000000.0,196664.0,8.0,90,350284.0,1.66
El Exterminator 2 (1991),315000000.0,102000000.0,31765506.0,8.5,137,953328.0,2.20
Dances with Wolves (1990),424200000.0,22000000.0,598257.0,8.0,181,229638.0,2.20
Batman (1989),411348924.0,35000000.0,40489746.0,7.5,126,325500.0,1.85
The Silence of the Lambs (1991),272742922.0,19000000.0,13766814.0,8.6,118,1197528.0,1.85
Blancanieves y los siete enanos (1937),418200000.0,2000000.0,7514749.0,7.6,83,172571.0,1.85
Beauty and the Beast (1991),424967620.0,25000000.0,17754905.0,8.0,84,403693.0,1.78
Pinocchio (1940),1068200.0,2600000.0,3769251.0,7.4,88,123491.0,1.66
Pretty Woman (1990),463406268.0,14000000.0,11280591.0,7.0,119,273344.0,1.37
Fargo (1996),36000000.0,7000000.0,137301.0,8.1,98,585807.0,1.85
Primal Fear (1996),102616183.0,30000000.0,9900000.0,7.7,129,173304.0,1.85
Courage Under Fire (1996),100860818.0,46000000.0,12501000.0,6.6,116,48408.0,1.85
Mission: Impossible (1996),457696359.0,80000000.0,804000.0,7.1,110,371491.0,2.39
DragonHeart (1996),115267375.0,57000000.0,1238000.0,6.5,103,88671.0,2.39
Eddie (1996),5700000.0,30000000.0,178363.0,5.2,100,9021.0,1.85
Space Jam (1996),250200000.0,80000000.0,27528529.0,6.4,88,150904.0,1.85
The Quest (1996),57400547.0,30000000.0,7029120.0,5.6,95,23218.0,2.35
Multiplicity (1996),34100000.0,45000000.0,5075000.0,6.1,117,28888.0,2.39
The Craft (1996),30900000.0,15000000.0,210549.0,6.3,101,71979.0,1.85
The Rock (1996),335062621.0,75000000.0,2601000.0,7.4,136,301888.0,2.39
Twister (1996),494471524.0,92000000.0,1071000.0,6.4,113,167435.0,2.39
Spy Hard (1996),59000000.0,18000000.0,98176.0,5.4,81,35027.0,1.85
Striptease (1996),113309743.0,40000000.0,12300000.0,4.5,115,41302.0,1.85
The Hunchback of Notre Dame (1996),325338851.0,100000000.0,4293000.0,6.9,91,134436.0,1.66
The Cable Guy (1996),102825796.0,47000000.0,19806226.0,6.1,96,146318.0,2.39
Kingpin (1996),7200000.0,27000000.0,5582000.0,6.9,114,74344.0,2.35
Eraser (1996),242295562.0,100000000.0,24566446.0,6.1,115,100168.0,2.39
The Nutty Professor (1996),273961019.0,54000000.0,25411725.0,5.6,95,105786.0,1.85
Daylight (1996),126189000.0,80000000.0,10014795.0,5.9,114,63525.0,1.85
Phenomenon (1996),152036382.0,32000000.0,16200000.0,6.4,123,72684.0,2.35
A Time to Kill (1996),152266007.0,40000000.0,19630000.0,7.5,149,124345.0,2.39
Fled (1996),2800000.0,25000000.0,5405000.0,5.4,98,8253.0,1.85
The First Wives Club (1996),181489203.0,26000000.0,18913411.0,6.4,103,40817.0,1.66
Ransom (1996),309492681.0,80000000.0,34216088.0,6.6,121,114478.0,1.85
Chain Reaction (1996),38200000.0,50000000.0,7546000.0,5.7,107,46559.0,1.85
The Crow: City of Angels (1996),7500000.0,13000000.0,9785111.0,4.7,84,18558.0,1.85
Tin Cup (1996),75900000.0,45000000.0,10128834.0,6.4,135,44455.0,2.35
The Godfather (1972),245066411.0,6000000.0,223758.0,9.2,175,1519960.0,1.37
The Island of Dr. Moreau (1996),42000000.0,40000000.0,9101987.0,4.6,96,29987.0,2.35
Rear Window (1954),36888916.0,1000000.0,15172.0,8.4,112,419375.0,1.37
Gone with the Wind (1939),400176459.0,3977000.0,1192593.0,8.1,238,275024.0,1.75
2001: A Space Odyssey (1968),190700000.0,12000000.0,202759.0,8.3,149,570705.0,2.20
Giant (1956),762459.0,5400000.0,5649.0,7.6,201,32399.0,1.66
Night of the Living Dead (1968),30000000.0,114000.0,5452.0,7.9,96,110241.0,1.37
Maximum Risk (1996),51702483.0,25000000.0,5611707.0,5.5,101,19328.0,2.35
Last Man Standing (1996),33200000.0,67000000.0,7010331.0,6.4,101,51704.0,2.35
The Glimmer Man (1996),16000000.0,45000000.0,7605504.0,5.4,91,18137.0,1.85
