,title,Cumulative Worldwide Gross,Budget,Opening Weekend United States,rating,runtimes,votes,aspect ratio,ROI
241,Poltergeist (1982),123606280.0,20.0,6896612.0,7.3,114,135125.0,2.20,618031300.0
1243,Paranormal Activity (2007),193355800.0,15000.0,19617650.0,6.3,86,213655.0,1.85,1288938.6666666667
338,The Blair Witch Project (1999),248639099.0,60000.0,29207381.0,6.5,81,223362.0,1.33,414298.49833333335
835,Open Water (2003),54667954.0,120000.0,1100943.0,5.7,79,49486.0,1.85,45456.628333333334
100,Night of the Living Dead (1968),30000000.0,114000.0,5452.0,7.9,96,110241.0,1.37,26215.789473684206
231,Rocky (1976),225000000.0,960000.0,5000000.0,8.1,120,493774.0,1.33,23337.5
65,Blancanieves y los siete enanos (1937),418200000.0,2000000.0,7514749.0,7.6,83,172571.0,1.85,20810.0
1454,The Devil Inside (2012),101758490.0,750000.0,33732515.0,4.2,83,34231.0,1.85,13467.798666666667
784,Napoleon Dynamite (2004),46118097.0,400000.0,116666.0,6.9,96,190953.0,1.85,11429.52425
237,Friday the 13th (1980),59754601.0,550000.0,5816321.0,6.5,95,112144.0,1.85,10764.47290909091
818,Saw (2004),103911669.0,1200000.0,650051.0,7.6,103,364783.0,1.85,8559.30575
627,Saturday Night Fever (1977),237113184.0,3000000.0,3878099.0,6.8,118,67246.0,1.85,7803.7728
113,E.T. the Extra-Terrestrial (1982),792910554.0,10500000.0,14223110.0,7.8,115,353022.0,1.85,7451.529085714285
1171,Fireproof (2008),33473297.0,500000.0,6804764.0,6.5,122,20378.0,1.85,6594.6594000000005
137,Grease (1978),394955690.0,6000000.0,60759.0,7.2,110,223311.0,2.20,6482.594833333333
1376,Insidious (2010),97009150.0,1500000.0,13271464.0,6.8,103,265478.0,2.35,6367.276666666667
1750,Unfriended (2014),64056643.0,1000000.0,16023000.0,5.5,83,64979.0,1.85,6305.6643
1329,Paranormal Activity 2 (2010),177512032.0,3000000.0,40678424.0,5.6,91,95669.0,1.85,5817.067733333333
139,Jaws (1975),470653000.0,8000000.0,7061513.0,8.0,124,524748.0,2.35,5783.1625
256,101 Dalmatians (1961),215880014.0,4000000.0,10279044.0,7.2,79,145111.0,1.33,5297.000349999999
236,The Breakfast Club (1985),51525171.0,1000000.0,5107599.0,7.9,97,331768.0,1.85,5052.5171
1879,Get Out (2017),255457364.0,5000000.0,33377060.0,7.7,104,449867.0,2.39,5009.14728
1432,Paranormal Activity 3 (2011),207039844.0,5000000.0,52568183.0,5.8,83,87672.0,1.85,4040.79688
1703,Annabelle (2014),256873813.0,6500000.0,37134255.0,5.4,99,132987.0,2.39,3851.9048153846156
1482,Chernobyl Diaries (2012),38390020.0,1000000.0,7955307.0,5.0,86,62277.0,1.85,3739.002
122,The Graduate (1967),114945305.0,3000000.0,873.0,8.0,106,245189.0,2.35,3731.5101666666665
1835,Moonlight (2016),55561162.0,1500000.0,1488740.0,7.4,111,250038.0,2.39,3604.0774666666666
900,Saw II (2005),147748505.0,4000000.0,31725652.0,6.6,93,224875.0,1.85,3593.7126249999997
98,Rear Window (1954),36888916.0,1000000.0,15172.0,8.4,112,419375.0,1.37,3588.8916000000004
242,The Exorcist (1973),441306145.0,12000000.0,8157666.0,8.0,122,347378.0,1.37,3577.5512083333333
68,Pretty Woman (1990),463406268.0,14000000.0,11280591.0,7.0,119,273344.0,1.37,3210.0447714285715
1599,Insidious: Chapter 2 (2013),161919318.0,5000000.0,41050000.0,6.6,106,147885.0,2.35,3138.38636
1655,God's Not Dead (2014),63838966.0,2000000.0,9244641.0,4.7,113,39009.0,1.85,3091.9483
1861,Split (2016),278454358.0,9000000.0,40010975.0,7.3,117,394569.0,2.39,2993.937311111111
1087,Juno (2007),231411584.0,7500000.0,413869.0,7.4,96,477114.0,1.85,2985.4877866666666
1826,Lights Out (2016),148868835.0,4900000.0,21688103.0,6.3,81,107723.0,2.35,2938.139489795918
711,Lost in Translation (2003),119723856.0,4000000.0,925087.0,7.7,102,391291.0,1.85,2893.0964
1576,The Purge (2013),89328627.0,3000000.0,34058360.0,5.7,85,193170.0,2.39,2877.6209000000003
61,Home Alone (1990),533800000.0,18000000.0,17081997.0,7.6,103,442112.0,1.85,2865.5555555555557
1518,Sinister (2012),87727807.0,3000000.0,18007634.0,6.8,110,207564.0,2.35,2824.2602333333334
300,Rocky II (1979),200182160.0,7000000.0,6390537.0,7.3,119,182183.0,1.37,2759.745142857143
1523,Paranormal Activity 4 (2012),142838957.0,5000000.0,29003866.0,4.6,88,60163.0,1.85,2756.77914
112,Dirty Dancing (1987),170000000.0,6000000.0,162378.0,7.0,100,189418.0,1.85,2733.333333333333
1672,The Fault in Our Stars (2014),307239013.0,12000000.0,48002523.0,7.7,126,328338.0,1.85,2460.3251083333334
550,In the Bedroom (2001),43368779.0,1700000.0,93972.0,7.4,130,36361.0,2.35,2451.1046470588235
1334,Black Swan (2010),329398046.0,13000000.0,1443809.0,8.0,108,672590.0,2.35,2433.831123076923
1780,War Room (2015),73975239.0,3000000.0,11351389.0,6.5,120,12402.0,2.35,2365.8413
1547,A Haunted House (2013),60141683.0,2500000.0,18101682.0,5.0,86,41956.0,1.85,2305.66732
1491,Magic Mike (2012),167221571.0,7000000.0,39127170.0,6.1,110,127189.0,2.35,2288.8795857142854
114,Top Gun (1986),356830601.0,15000000.0,1965737.0,6.9,110,276134.0,1.33,2278.8706733333333
1161,High School Musical 3 (2008),252909177.0,11000000.0,42030184.0,4.8,112,55187.0,1.85,2199.1743363636365
483,Beverly Hills Cop (1984),316360478.0,14000000.0,15214805.0,7.3,105,155093.0,1.37,2159.7176999999997
198,Good Will Hunting (1997),225933435.0,10000000.0,10261471.0,8.3,126,810475.0,1.85,2159.33435
405,Death Wish II (1982),45000000.0,2000000.0,1871487.0,6.1,89,13665.0,1.85,2150.0
585,Three Men and a Baby (1987),242780960.0,11000000.0,10384392.0,6.0,102,45166.0,1.85,2107.0996363636364
833,Killer Klowns from Outer Space (1988),43625095.0,2000000.0,2657329.0,6.2,88,30765.0,1.85,2081.25475
118,Raiders of the Lost Ark (1981),389925971.0,18000000.0,1673731.0,8.4,115,845158.0,2.20,2066.2553944444444
1710,Ouija (2014),103590271.0,5000000.0,19900000.0,4.5,89,45814.0,2.35,1971.8054200000001
757,The Passion of the Christ (2004),611899420.0,30000000.0,83848082.0,7.1,127,205937.0,2.39,1939.6647333333335
708,Cabin Fever (2002),30553394.0,1500000.0,8633585.0,5.7,93,71846.0,2.39,1936.8929333333333
364,Home Alone 2: Lost in New York (1992),358991681.0,18000000.0,31126882.0,6.7,120,284360.0,1.85,1894.3982277777777
1776,The Visit (2015),98450062.0,5000000.0,25427560.0,6.2,94,107420.0,1.85,1869.00124
38,The Mask (1994),351583407.0,18000000.0,23117068.0,6.9,101,328506.0,1.85,1853.2411499999998
816,The Grudge (2004),187281115.0,10000000.0,39128715.0,5.9,91,135469.0,1.85,1772.81115
1635,Paranormal Activity: The Marked Ones (2014),90904854.0,5000000.0,18343611.0,5.0,84,38388.0,1.78,1718.09708
63,Aladdin (1992),504050219.0,28000000.0,196664.0,8.0,90,350284.0,1.66,1700.1793535714285
790,Fahrenheit 9/11 (2004),103251549.0,6000000.0,23920637.0,7.5,122,124210.0,1.85,1620.85915
66,Beauty and the Beast (1991),424967620.0,25000000.0,17754905.0,8.0,84,403693.0,1.78,1599.87048
916,Hostel (2005),80578934.0,4800000.0,19556099.0,5.9,94,163811.0,2.39,1578.7277916666667
389,The Bodyguard (1992),410900000.0,25000000.0,16611793.0,6.3,129,113069.0,1.85,1543.6
230,There's Something About Mary (1998),369884651.0,23000000.0,13740644.0,7.1,119,281752.0,1.85,1508.1941347826087
1833,Don't Breathe (2016),159047649.0,9900000.0,26411706.0,7.1,88,203175.0,2.35,1506.541909090909
253,The Jungle Book (1967),64000000.0,4000000.0,7708029.0,7.6,78,158249.0,1.75,1500.0
1584,The Conjuring (2013),318000141.0,20000000.0,41855326.0,7.5,112,419570.0,2.39,1490.000705
630,Jackass: The Movie (2002),79493831.0,5000000.0,2763437.0,6.6,87,78721.0,1.85,1489.87662
99,2001: A Space Odyssey (1968),190700000.0,12000000.0,202759.0,8.3,149,570705.0,2.20,1489.1666666666667
301,Rocky III (1982),270000000.0,17000000.0,16015408.0,6.8,99,165269.0,1.37,1488.235294117647
890,Cry Wolf (2005),15585495.0,1000000.0,4428209.0,5.8,90,25435.0,2.35,1458.5495
28,Dumb and Dumber (1994),247275374.0,16000000.0,16300000.0,7.3,107,340321.0,1.85,1445.4710875
671,Better Luck Tomorrow (2002),3809226.0,250000.0,360772.0,7.0,101,8803.0,1.85,1423.6904
911,Transamerica (2005),15151744.0,1000000.0,1452303.0,7.4,103,39589.0,1.85,1415.1744
860,Crash (2004),98410061.0,6500000.0,342709.0,7.8,112,409356.0,2.35,1414.0009384615385
1661,Neighbors (2014),268157400.0,18000000.0,49033915.0,6.3,97,275319.0,2.35,1389.7633333333333
1847,La La Land (2016),446092357.0,30000000.0,9242782.0,8.0,128,468934.0,2.55,1386.9745233333333
1681,Whiplash (2014),48982041.0,3300000.0,135388.0,8.5,106,663515.0,2.39,1384.3042727272727
434,Scary Movie (2000),278019771.0,19000000.0,42346669.0,6.2,88,223296.0,2.35,1363.2619526315789
980,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),261572744.0,18000000.0,26455463.0,7.3,84,341247.0,1.85,1353.1819111111113
800,Garden State (2004),35825316.0,2500000.0,201115.0,7.4,102,203570.0,2.35,1333.01264
1738,Fifty Shades of Grey (2015),571006128.0,40000000.0,94395000.0,4.1,125,287781.0,2.39,1327.51532
234,Rain Man (1988),354825435.0,25000000.0,7005719.0,8.0,133,455870.0,1.85,1319.30174
